"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Mobile County, AL"	"01097"	213	1993661	10.7
	"Monroe County, AL"	"01099"	12	119447	Unreliable
	"Montgomery County, AL"	"01101"	118	1115523	10.6
	"Morgan County, AL"	"01103"	89	563316	15.8
	"Pickens County, AL"	"01107"	17	102807	Unreliable
	"Pike County, AL"	"01109"	16	150954	Unreliable
	"Randolph County, AL"	"01111"	20	112471	17.8
	"Russell County, AL"	"01113"	30	247405	12.1
	"St. Clair County, AL"	"01115"	42	345008	12.2
	"Shelby County, AL"	"01117"	73	800486	9.1
	"Talladega County, AL"	"01121"	47	405619	11.6
	"Tallapoosa County, AL"	"01123"	31	205109	15.1
	"Tuscaloosa County, AL"	"01125"	96	852521	11.3
	"Walker County, AL"	"01127"	51	346363	14.7
	"Winston County, AL"	"01133"	16	123016	Unreliable
	"Anchorage Borough, AK"	"02020"	221	1354049	16.3
	"Bethel Census Area, AK"	"02050"	36	82433	43.7
	"Fairbanks North Star Borough, AK"	"02090"	56	437268	12.8
	"Juneau Borough, AK"	"02110"	19	154313	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	45	254747	17.7
	"Matanuska-Susitna Borough, AK"	"02170"	74	338492	21.9
	"Nome Census Area, AK"	"02180"	36	46227	77.9
	"North Slope Borough, AK"	"02185"	13	39462	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	27	36626	73.7
	"Valdez-Cordova Census Area, AK"	"02261"	13	50075	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	29	35998	80.6
	"Yukon-Koyukuk Census Area, AK"	"02290"	17	34880	Unreliable
	"Apache County, AZ"	"04001"	74	339936	21.8
	"Cochise County, AZ"	"04003"	124	608303	20.4
	"Coconino County, AZ"	"04005"	119	614615	19.4
	"Gila County, AZ"	"04007"	58	257167	22.6
	"Graham County, AZ"	"04009"	21	165232	12.7
	"La Paz County, AZ"	"04012"	22	99124	22.2
	"Maricopa County, AZ"	"04013"	2311	16716693	13.8
	"Mohave County, AZ"	"04015"	216	868394	24.9
	"Navajo County, AZ"	"04017"	132	506459	26.1
	"Pima County, AZ"	"04019"	717	4441080	16.1
	"Pinal County, AZ"	"04021"	179	1047929	17.1
	"Santa Cruz County, AZ"	"04023"	19	204506	Unreliable
	"Yavapai County, AZ"	"04025"	244	915334	26.7
	"Yuma County, AZ"	"04027"	77	847914	9.1
	"Arkansas County, AR"	"05001"	19	100846	Unreliable
	"Ashley County, AR"	"05003"	16	116964	Unreliable
	"Baxter County, AR"	"05005"	42	194935	21.5
	"Benton County, AR"	"05007"	108	861692	12.5
	"Boone County, AR"	"05009"	26	173652	15.0
	"Carroll County, AR"	"05015"	16	129875	Unreliable
	"Clay County, AR"	"05021"	13	84958	Unreliable
	"Columbia County, AR"	"05027"	21	126071	16.7
	"Conway County, AR"	"05029"	16	102391	Unreliable
	"Craighead County, AR"	"05031"	56	426097	13.1
	"Crawford County, AR"	"05033"	44	279746	15.7
	"Crittenden County, AR"	"05035"	33	252303	13.1
	"Cross County, AR"	"05037"	15	95049	Unreliable
	"Desha County, AR"	"05041"	10	72208	Unreliable
	"Faulkner County, AR"	"05045"	54	468426	11.5
	"Fulton County, AR"	"05049"	16	59450	Unreliable
	"Garland County, AR"	"05051"	100	452325	22.1
	"Grant County, AR"	"05053"	13	84246	Unreliable
	"Greene County, AR"	"05055"	31	193412	16.0
	"Hot Spring County, AR"	"05059"	29	154949	18.7
	"Independence County, AR"	"05063"	23	173682	13.2
	"Izard County, AR"	"05065"	11	67065	Unreliable
	"Jackson County, AR"	"05067"	14	90425	Unreliable
	"Jefferson County, AR"	"05069"	32	410292	7.8
	"Johnson County, AR"	"05071"	28	117880	23.8
	"Lawrence County, AR"	"05075"	11	87926	Unreliable
	"Little River County, AR"	"05081"	10	66398	Unreliable
	"Logan County, AR"	"05083"	24	112889	21.3
	"Lonoke County, AR"	"05085"	31	284353	10.9
	"Madison County, AR"	"05087"	10	71727	Unreliable
	"Marion County, AR"	"05089"	20	81271	24.6
	"Miller County, AR"	"05091"	29	206857	14.0
	"Mississippi County, AR"	"05093"	32	244704	13.1
	"Montgomery County, AR"	"05097"	10	46302	Unreliable
	"Ouachita County, AR"	"05103"	13	137318	Unreliable
	"Perry County, AR"	"05105"	15	51723	Unreliable
	"Poinsett County, AR"	"05111"	18	125985	Unreliable
	"Polk County, AR"	"05113"	17	100891	Unreliable
	"Pope County, AR"	"05115"	28	280154	10.0
	"Pulaski County, AR"	"05119"	234	1827333	12.8
	"Randolph County, AR"	"05121"	16	90590	Unreliable
	"St. Francis County, AR"	"05123"	15	144809	Unreliable
	"Saline County, AR"	"05125"	66	445585	14.8
	"Scott County, AR"	"05127"	14	54664	Unreliable
	"Sebastian County, AR"	"05131"	87	589007	14.8
	"Sevier County, AR"	"05133"	18	79451	Unreliable
	"Sharp County, AR"	"05135"	15	86645	Unreliable
	"Stone County, AR"	"05137"	13	58472	Unreliable
	"Union County, AR"	"05139"	35	220825	15.8
	"Van Buren County, AR"	"05141"	18	82693	Unreliable
	"Washington County, AR"	"05143"	102	862070	11.8
	"White County, AR"	"05145"	38	348216	10.9
	"Yell County, AR"	"05149"	18	105704	Unreliable
	"Alameda County, CA"	"06001"	564	7273019	7.8
	"Amador County, CA"	"06005"	31	184692	16.8
	"Butte County, CA"	"06007"	165	1054611	15.6
	"Calaveras County, CA"	"06009"	41	217264	18.9
	"Contra Costa County, CA"	"06013"	468	4929782	9.5
	"Del Norte County, CA"	"06015"	25	138521	18.0
	"El Dorado County, CA"	"06017"	122	841283	14.5
	"Fresno County, CA"	"06019"	354	4223481	8.4
	"Glenn County, CA"	"06021"	22	134632	16.3
	"Humboldt County, CA"	"06023"	133	648253	20.5
	"Imperial County, CA"	"06025"	44	746703	5.9
	"Inyo County, CA"	"06027"	24	92160	26.0
	"Kern County, CA"	"06029"	363	3581927	10.1
	"Kings County, CA"	"06031"	58	696391	8.3
	"Lake County, CA"	"06033"	56	311155	18.0
	"Lassen County, CA"	"06035"	29	169854	17.1
	"Los Angeles County, CA"	"06037"	3600	48678728	7.4
	"Madera County, CA"	"06039"	68	664107	10.2
	"Marin County, CA"	"06041"	167	1227120	13.6
	"Mariposa County, CA"	"06043"	17	87865	Unreliable
	"Mendocino County, CA"	"06045"	74	438356	16.9
	"Merced County, CA"	"06047"	88	1155636	7.6
	"Mono County, CA"	"06051"	12	66814	Unreliable
	"Monterey County, CA"	"06053"	170	2039654	8.3
	"Napa County, CA"	"06055"	62	646468	9.6
	"Nevada County, CA"	"06057"	72	477730	15.1
	"Orange County, CA"	"06059"	1137	14604844	7.8
	"Placer County, CA"	"06061"	170	1446851	11.7
	"Plumas County, CA"	"06063"	24	104653	22.9
	"Riverside County, CA"	"06065"	835	8863764	9.4
	"Sacramento County, CA"	"06067"	755	6605615	11.4
	"San Benito County, CA"	"06069"	24	274394	8.7
	"San Bernardino County, CA"	"06071"	851	9249626	9.2
	"San Diego County, CA"	"06073"	1508	14553111	10.4
	"San Francisco County, CA"	"06075"	463	3844089	12.0
	"San Joaquin County, CA"	"06077"	249	3126909	8.0
	"San Luis Obispo County, CA"	"06079"	165	1274676	12.9
	"San Mateo County, CA"	"06081"	294	3476545	8.5
	"Santa Barbara County, CA"	"06083"	194	2030515	9.6
	"Santa Clara County, CA"	"06085"	637	8359501	7.6
	"Santa Cruz County, CA"	"06087"	160	1267330	12.6
	"Shasta County, CA"	"06089"	167	860290	19.4
	"Siskiyou County, CA"	"06093"	48	221195	21.7
	"Solano County, CA"	"06095"	193	2038326	9.5
	"Sonoma County, CA"	"06097"	249	2329827	10.7
	"Stanislaus County, CA"	"06099"	243	2421220	10.0
	"Sutter County, CA"	"06101"	49	422219	11.6
	"Tehama County, CA"	"06103"	42	292766	14.3
	"Trinity County, CA"	"06105"	26	65732	39.6
	"Tulare County, CA"	"06107"	156	1947678	8.0
	"Tuolumne County, CA"	"06109"	61	281006	21.7
	"Ventura County, CA"	"06111"	361	3922439	9.2
	"Yolo County, CA"	"06113"	70	910124	7.7
	"Yuba County, CA"	"06115"	50	316109	15.8
	"Adams County, CO"	"08001"	344	1920873	17.9
	"Alamosa County, CO"	"08003"	12	75590	Unreliable
	"Arapahoe County, CO"	"08005"	411	2568456	16.0
	"Archuleta County, CO"	"08007"	11	55190	Unreliable
	"Boulder County, CO"	"08013"	209	1442499	14.5
	"Broomfield County, CO"	"08014"	25	134985	18.5
	"Chaffee County, CO"	"08015"	18	84405	Unreliable
	"Clear Creek County, CO"	"08019"	17	46597	Unreliable
	"Conejos County, CO"	"08021"	11	41708	Unreliable
	"Delta County, CO"	"08029"	28	144369	19.4
	"Denver County, CO"	"08031"	430	2773801	15.5
	"Douglas County, CO"	"08035"	100	1101666	9.1
	"Eagle County, CO"	"08037"	18	225558	Unreliable
	"Elbert County, CO"	"08039"	14	108765	Unreliable
	"El Paso County, CO"	"08041"	500	2750025	18.2
	"Fremont County, CO"	"08043"	71	233799	30.4
	"Garfield County, CO"	"08045"	39	237955	16.4
	"Gilpin County, CO"	"08047"	11	23908	Unreliable
	"Grand County, CO"	"08049"	15	66448	Unreliable
	"Jefferson County, CO"	"08059"	451	2625453	17.2
	"La Plata County, CO"	"08067"	46	231337	19.9
	"Larimer County, CO"	"08069"	206	1340987	15.4
	"Las Animas County, CO"	"08071"	23	77401	29.7
	"Logan County, CO"	"08075"	20	108321	18.5
	"Mesa County, CO"	"08077"	130	624802	20.8
	"Moffat County, CO"	"08081"	20	65495	30.5
	"Montezuma County, CO"	"08083"	33	120852	27.3
	"Montrose County, CO"	"08085"	37	178819	20.7
	"Morgan County, CO"	"08087"	18	138062	Unreliable
	"Otero County, CO"	"08089"	13	97968	Unreliable
	"Park County, CO"	"08093"	18	79373	Unreliable
	"Pitkin County, CO"	"08097"	16	75947	Unreliable
	"Pueblo County, CO"	"08101"	152	736937	20.6
	"Routt County, CO"	"08107"	17	104132	Unreliable
	"Summit County, CO"	"08117"	10	125930	Unreliable
	"Teller County, CO"	"08119"	27	108074	25.0
	"Weld County, CO"	"08123"	127	1041602	12.2
	"Fairfield County, CT"	"09001"	293	4473430	6.5
	"Hartford County, CT"	"09003"	347	4355889	8.0
	"Litchfield County, CT"	"09005"	96	935029	10.3
	"Middlesex County, CT"	"09007"	63	800698	7.9
	"New Haven County, CT"	"09009"	350	4198580	8.3
	"New London County, CT"	"09011"	139	1330937	10.4
	"Tolland County, CT"	"09013"	59	720854	8.2
	"Windham County, CT"	"09015"	57	563553	10.1
	"Kent County, DE"	"10001"	69	679584	10.2
	"New Castle County, DE"	"10003"	289	2573240	11.2
	"Sussex County, DE"	"10005"	94	843000	11.2
	"District of Columbia, DC"	"11001"	173	2851054	6.1
	"Alachua County, FL"	"12001"	148	1136977	13.0
	"Baker County, FL"	"12003"	13	118447	Unreliable
	"Bay County, FL"	"12005"	135	779713	17.3
	"Bradford County, FL"	"12007"	16	135225	Unreliable
	"Brevard County, FL"	"12009"	455	2535330	17.9
	"Broward County, FL"	"12011"	1107	8532866	13.0
	"Charlotte County, FL"	"12015"	144	762686	18.9
	"Citrus County, FL"	"12017"	137	634534	21.6
	"Clay County, FL"	"12019"	121	784908	15.4
	"Collier County, FL"	"12021"	176	1428524	12.3
	"Columbia County, FL"	"12023"	42	298278	14.1
	"DeSoto County, FL"	"12027"	20	165878	12.1
	"Dixie County, FL"	"12029"	12	72883	Unreliable
	"Duval County, FL"	"12031"	586	4049904	14.5
	"Escambia County, FL"	"12033"	201	1488511	13.5
	"Flagler County, FL"	"12035"	42	321191	13.1
	"Gadsden County, FL"	"12039"	21	225254	9.3
	"Gilchrist County, FL"	"12041"	15	74868	Unreliable
	"Glades County, FL"	"12043"	12	57931	Unreliable
	"Gulf County, FL"	"12045"	11	76267	Unreliable
	"Hardee County, FL"	"12049"	17	133651	Unreliable
	"Hendry County, FL"	"12051"	19	183306	Unreliable
	"Hernando County, FL"	"12053"	136	721380	18.9
	"Highlands County, FL"	"12055"	82	458085	17.9
	"Hillsborough County, FL"	"12057"	656	5412086	12.1
	"Indian River County, FL"	"12061"	97	607006	16.0
	"Jackson County, FL"	"12063"	26	233531	11.1
	"Lake County, FL"	"12069"	197	1217517	16.2
	"Lee County, FL"	"12071"	405	2515048	16.1
	"Leon County, FL"	"12073"	113	1250931	9.0
	"Levy County, FL"	"12075"	52	183477	28.3
	"Madison County, FL"	"12079"	11	94489	Unreliable
	"Manatee County, FL"	"12081"	204	1442259	14.1
	"Marion County, FL"	"12083"	251	1411082	17.8
	"Martin County, FL"	"12085"	117	681040	17.2
	"Miami-Dade County, FL"	"12086"	1042	11683831	8.9
	"Monroe County, FL"	"12087"	91	389725	23.3
	"Nassau County, FL"	"12089"	50	311452	16.1
	"Okaloosa County, FL"	"12091"	136	893021	15.2
	"Okeechobee County, FL"	"12093"	26	188101	13.8
	"Orange County, FL"	"12095"	483	4931160	9.8
	"Osceola County, FL"	"12097"	136	1019792	13.3
	"Palm Beach County, FL"	"12099"	795	6100517	13.0
	"Pasco County, FL"	"12101"	343	1934048	17.7
	"Pinellas County, FL"	"12103"	817	4632949	17.6
	"Polk County, FL"	"12105"	334	2582502	12.9
	"Putnam County, FL"	"12107"	67	360447	18.6
	"St. Johns County, FL"	"12109"	103	719723	14.3
	"St. Lucie County, FL"	"12111"	148	1089692	13.6
	"Santa Rosa County, FL"	"12113"	100	658535	15.2
	"Sarasota County, FL"	"12115"	304	1747822	17.4
	"Seminole County, FL"	"12117"	250	1947650	12.8
	"Sumter County, FL"	"12119"	39	310983	12.5
	"Suwannee County, FL"	"12121"	31	184961	16.8
	"Taylor County, FL"	"12123"	17	99463	Unreliable
	"Union County, FL"	"12125"	10	70373	Unreliable
	"Volusia County, FL"	"12127"	450	2338567	19.2
	"Wakulla County, FL"	"12129"	21	125837	16.7
	"Walton County, FL"	"12131"	39	228814	17.0
	"Washington County, FL"	"12133"	10	108323	Unreliable
	"Baldwin County, GA"	"13009"	25	227671	11.0
	"Banks County, GA"	"13011"	14	79279	Unreliable
	"Barrow County, GA"	"13013"	34	263754	12.9
	"Bartow County, GA"	"13015"	54	426989	12.6
	"Berrien County, GA"	"13019"	11	85214	Unreliable
	"Bibb County, GA"	"13021"	88	769336	11.4
	"Bleckley County, GA"	"13023"	11	59490	Unreliable
	"Bryan County, GA"	"13029"	14	125931	Unreliable
	"Bulloch County, GA"	"13031"	29	297363	9.8
	"Burke County, GA"	"13033"	10	113706	Unreliable
	"Butts County, GA"	"13035"	15	106480	Unreliable
	"Camden County, GA"	"13039"	31	227105	13.7
	"Carroll County, GA"	"13045"	74	484915	15.3
	"Catoosa County, GA"	"13047"	43	286887	15.0
	"Chatham County, GA"	"13051"	115	1191068	9.7
	"Chattahoochee County, GA"	"13053"	11	78723	Unreliable
	"Chattooga County, GA"	"13055"	15	128387	Unreliable
	"Cherokee County, GA"	"13057"	82	830689	9.9
	"Clarke County, GA"	"13059"	53	534138	9.9
	"Clayton County, GA"	"13063"	122	1258526	9.7
	"Cobb County, GA"	"13067"	274	3175762	8.6
	"Coffee County, GA"	"13069"	19	195536	Unreliable
	"Colquitt County, GA"	"13071"	25	213327	11.7
	"Columbia County, GA"	"13073"	58	496527	11.7
	"Cook County, GA"	"13075"	14	80765	Unreliable
	"Coweta County, GA"	"13077"	57	503660	11.3
	"Crawford County, GA"	"13079"	12	63300	Unreliable
	"Crisp County, GA"	"13081"	15	111438	Unreliable
	"Decatur County, GA"	"13087"	13	138831	Unreliable
	"DeKalb County, GA"	"13089"	308	3344039	9.2
	"Dodge County, GA"	"13091"	14	100333	Unreliable
	"Dougherty County, GA"	"13095"	41	475594	8.6
	"Douglas County, GA"	"13097"	58	517067	11.2
	"Effingham County, GA"	"13103"	34	211444	16.1
	"Elbert County, GA"	"13105"	14	103012	Unreliable
	"Fannin County, GA"	"13111"	17	106924	Unreliable
	"Fayette County, GA"	"13113"	52	488831	10.6
	"Floyd County, GA"	"13115"	64	465663	13.7
	"Forsyth County, GA"	"13117"	68	614268	11.1
	"Franklin County, GA"	"13119"	20	105993	18.9
	"Fulton County, GA"	"13121"	400	4076223	9.8
	"Gilmer County, GA"	"13123"	25	127707	19.6
	"Glynn County, GA"	"13127"	32	352421	9.1
	"Gordon County, GA"	"13129"	24	240869	10.0
	"Grady County, GA"	"13131"	11	118857	Unreliable
	"Gwinnett County, GA"	"13135"	297	3323848	8.9
	"Habersham County, GA"	"13137"	19	190032	Unreliable
	"Hall County, GA"	"13139"	90	767302	11.7
	"Haralson County, GA"	"13143"	31	135743	22.8
	"Harris County, GA"	"13145"	18	131480	Unreliable
	"Hart County, GA"	"13147"	14	118079	Unreliable
	"Henry County, GA"	"13151"	92	752253	12.2
	"Houston County, GA"	"13153"	60	599163	10.0
	"Jackson County, GA"	"13157"	24	233432	10.3
	"Jasper County, GA"	"13159"	11	61646	Unreliable
	"Jeff Davis County, GA"	"13161"	11	66361	Unreliable
	"Jones County, GA"	"13169"	15	128688	Unreliable
	"Laurens County, GA"	"13175"	33	230114	14.3
	"Lee County, GA"	"13177"	15	127790	Unreliable
	"Liberty County, GA"	"13179"	29	312268	9.3
	"Lowndes County, GA"	"13185"	46	475295	9.7
	"Lumpkin County, GA"	"13187"	18	120162	Unreliable
	"McDuffie County, GA"	"13189"	17	106294	Unreliable
	"Madison County, GA"	"13195"	17	133397	Unreliable
	"Meriwether County, GA"	"13199"	14	113015	Unreliable
	"Mitchell County, GA"	"13205"	16	118047	Unreliable
	"Monroe County, GA"	"13207"	25	116086	21.5
	"Morgan County, GA"	"13211"	11	82121	Unreliable
	"Murray County, GA"	"13213"	16	194036	Unreliable
	"Muscogee County, GA"	"13215"	99	923952	10.7
	"Newton County, GA"	"13217"	48	379785	12.6
	"Oconee County, GA"	"13219"	15	136490	Unreliable
	"Paulding County, GA"	"13223"	54	503293	10.7
	"Peach County, GA"	"13225"	15	122580	Unreliable
	"Pickens County, GA"	"13227"	17	129888	Unreliable
	"Pierce County, GA"	"13229"	11	82018	Unreliable
	"Polk County, GA"	"13233"	28	196391	14.3
	"Pulaski County, GA"	"13235"	10	51937	Unreliable
	"Putnam County, GA"	"13237"	15	97834	Unreliable
	"Rabun County, GA"	"13241"	10	78150	Unreliable
	"Richmond County, GA"	"13245"	108	987791	10.9
	"Rockdale County, GA"	"13247"	42	374556	11.2
	"Spalding County, GA"	"13255"	48	300527	16.0
	"Stephens County, GA"	"13257"	25	127297	19.6
	"Sumter County, GA"	"13261"	15	165511	Unreliable
	"Tattnall County, GA"	"13267"	16	113202	Unreliable
	"Telfair County, GA"	"13271"	10	68144	Unreliable
	"Thomas County, GA"	"13275"	28	214503	13.1
	"Tift County, GA"	"13277"	23	191976	12.0
	"Toombs County, GA"	"13279"	12	130785	Unreliable
	"Towns County, GA"	"13281"	14	48588	Unreliable
	"Troup County, GA"	"13285"	39	306093	12.7
	"Union County, GA"	"13291"	18	94423	Unreliable
	"Upson County, GA"	"13293"	19	138014	Unreliable
	"Walker County, GA"	"13295"	30	317816	9.4
	"Walton County, GA"	"13297"	41	342141	12.0
	"Ware County, GA"	"13299"	18	175853	Unreliable
	"Washington County, GA"	"13303"	11	104523	Unreliable
	"Wayne County, GA"	"13305"	16	138805	Unreliable
	"White County, GA"	"13311"	25	115288	21.7
	"Whitfield County, GA"	"13313"	52	449855	11.6
	"Wilkes County, GA"	"13317"	10	53255	Unreliable
	"Worth County, GA"	"13321"	14	109309	Unreliable
	"Hawaii County, HI"	"15001"	90	795797	11.3
	"Honolulu County, HI"	"15003"	407	4493717	9.1
	"Kauai County, HI"	"15007"	37	304819	12.1
	"Maui County, HI"	"15009"	76	688051	11.0
	"Ada County, ID"	"16001"	229	1646586	13.9
	"Bannock County, ID"	"16005"	60	383348	15.7
	"Bear Lake County, ID"	"16007"	10	31079	Unreliable
	"Bingham County, ID"	"16011"	44	212604	20.7
	"Blaine County, ID"	"16013"	21	102209	20.5
	"Bonner County, ID"	"16017"	34	191408	17.8
	"Bonneville County, ID"	"16019"	64	437036	14.6
	"Boundary County, ID"	"16021"	14	50076	Unreliable
	"Canyon County, ID"	"16027"	98	756811	12.9
	"Cassia County, ID"	"16031"	19	107222	Unreliable
	"Elmore County, ID"	"16039"	17	132906	Unreliable
	"Gem County, ID"	"16045"	15	78803	Unreliable
	"Gooding County, ID"	"16047"	12	72216	Unreliable
	"Idaho County, ID"	"16049"	13	77429	Unreliable
	"Jefferson County, ID"	"16051"	22	101889	21.6
	"Jerome County, ID"	"16053"	17	95265	Unreliable
	"Kootenai County, ID"	"16055"	119	588695	20.2
	"Latah County, ID"	"16057"	29	177763	16.3
	"Minidoka County, ID"	"16067"	20	96714	20.7
	"Nez Perce County, ID"	"16069"	51	187675	27.2
	"Owyhee County, ID"	"16073"	10	54769	Unreliable
	"Payette County, ID"	"16075"	17	105518	Unreliable
	"Shoshone County, ID"	"16079"	12	65098	Unreliable
	"Twin Falls County, ID"	"16083"	49	335263	14.6
	"Valley County, ID"	"16085"	13	40600	Unreliable
	"Adams County, IL"	"17001"	35	336795	10.4
	"Boone County, IL"	"17007"	12	231665	Unreliable
	"Bureau County, IL"	"17011"	17	175246	Unreliable
	"Carroll County, IL"	"17015"	12	81000	Unreliable
	"Champaign County, IL"	"17019"	88	932443	9.4
	"Christian County, IL"	"17021"	30	176066	17.0
	"Clark County, IL"	"17023"	11	83869	Unreliable
	"Clinton County, IL"	"17027"	17	181202	Unreliable
	"Coles County, IL"	"17029"	24	264175	9.1
	"Cook County, IL"	"17031"	1964	26443712	7.4
	"Crawford County, IL"	"17033"	14	100783	Unreliable
	"DeKalb County, IL"	"17037"	31	471136	6.6
	"De Witt County, IL"	"17039"	12	83538	Unreliable
	"DuPage County, IL"	"17043"	329	4564750	7.2
	"Edgar County, IL"	"17045"	17	95827	Unreliable
	"Effingham County, IL"	"17049"	16	171885	Unreliable
	"Fayette County, IL"	"17051"	19	107927	Unreliable
	"Franklin County, IL"	"17055"	34	195642	17.4
	"Fulton County, IL"	"17057"	25	188254	13.3
	"Grundy County, IL"	"17063"	14	202595	Unreliable
	"Hancock County, IL"	"17067"	10	98592	Unreliable
	"Henry County, IL"	"17073"	24	252963	9.5
	"Iroquois County, IL"	"17075"	21	153556	13.7
	"Jackson County, IL"	"17077"	25	297229	8.4
	"Jefferson County, IL"	"17081"	27	198671	13.6
	"Jersey County, IL"	"17083"	13	110752	Unreliable
	"Jo Daviess County, IL"	"17085"	17	112993	Unreliable
	"Kane County, IL"	"17089"	169	2260609	7.5
	"Kankakee County, IL"	"17091"	56	529877	10.6
	"Kendall County, IL"	"17093"	27	343530	7.9
	"Knox County, IL"	"17095"	33	272139	12.1
	"Lake County, IL"	"17097"	247	3357922	7.4
	"LaSalle County, IL"	"17099"	57	559765	10.2
	"Lawrence County, IL"	"17101"	11	81499	Unreliable
	"Lee County, IL"	"17103"	19	178850	Unreliable
	"Livingston County, IL"	"17105"	16	196702	Unreliable
	"Logan County, IL"	"17107"	13	154541	Unreliable
	"McDonough County, IL"	"17109"	13	164208	Unreliable
	"McHenry County, IL"	"17111"	100	1406093	7.1
	"McLean County, IL"	"17113"	70	785785	8.9
	"Macon County, IL"	"17115"	44	560004	7.9
	"Macoupin County, IL"	"17117"	32	243227	13.2
	"Madison County, IL"	"17119"	158	1312520	12.0
	"Marion County, IL"	"17121"	38	203136	18.7
	"Mason County, IL"	"17125"	10	78666	Unreliable
	"Menard County, IL"	"17129"	10	62787	Unreliable
	"Monroe County, IL"	"17133"	10	148572	Unreliable
	"Montgomery County, IL"	"17135"	23	152103	15.1
	"Morgan County, IL"	"17137"	16	181339	Unreliable
	"Moultrie County, IL"	"17139"	12	72226	Unreliable
	"Ogle County, IL"	"17141"	21	260882	8.0
	"Peoria County, IL"	"17143"	103	912852	11.3
	"Perry County, IL"	"17145"	20	113583	17.6
	"Randolph County, IL"	"17157"	26	168351	15.4
	"Rock Island County, IL"	"17161"	83	738762	11.2
	"St. Clair County, IL"	"17163"	144	1294409	11.1
	"Saline County, IL"	"17165"	14	129430	Unreliable
	"Sangamon County, IL"	"17167"	94	956336	9.8
	"Shelby County, IL"	"17173"	11	112912	Unreliable
	"Stephenson County, IL"	"17177"	25	242079	10.3
	"Tazewell County, IL"	"17179"	86	646400	13.3
	"Union County, IL"	"17181"	11	90443	Unreliable
	"Vermilion County, IL"	"17183"	45	415624	10.8
	"Washington County, IL"	"17189"	14	75632	Unreliable
	"Wayne County, IL"	"17191"	10	84813	Unreliable
	"Whiteside County, IL"	"17195"	35	298468	11.7
	"Will County, IL"	"17197"	256	2896891	8.8
	"Williamson County, IL"	"17199"	36	313638	11.5
	"Winnebago County, IL"	"17201"	148	1414916	10.5
	"Woodford County, IL"	"17203"	15	180844	Unreliable
	"Adams County, IN"	"18001"	17	168514	Unreliable
	"Allen County, IN"	"18003"	201	1695803	11.9
	"Bartholomew County, IN"	"18005"	38	362841	10.5
	"Boone County, IN"	"18011"	35	245572	14.3
	"Brown County, IN"	"18013"	10	76587	Unreliable
	"Cass County, IN"	"18017"	20	201024	9.9
	"Clark County, IN"	"18019"	72	496728	14.5
	"Clay County, IN"	"18021"	23	133991	17.2
	"Clinton County, IN"	"18023"	26	167381	15.5
	"Crawford County, IN"	"18025"	10	54946	Unreliable
	"Daviess County, IN"	"18027"	14	150475	Unreliable
	"Dearborn County, IN"	"18029"	24	237965	10.1
	"Decatur County, IN"	"18031"	11	124906	Unreliable
	"De Kalb County, IN"	"18033"	22	205132	10.7
	"Delaware County, IN"	"18035"	83	597273	13.9
	"Dubois County, IN"	"18037"	31	203148	15.3
	"Elkhart County, IN"	"18039"	76	937958	8.1
	"Fayette County, IN"	"18041"	17	124854	Unreliable
